There are 4000 cats
 There are 4005 dogs
参数数目:1299666

Step:  10400, loss: 0.00001754, accuracy: 100.00%, time:2.06s, time left: 0.03hours
Step:  10500, loss: 0.00002185, accuracy: 100.00%, time:2.07s, time left: 0.03hours
Step:  10600, loss: 0.00001731, accuracy: 100.00%, time:2.04s, time left: 0.02hours
Step:  10700, loss: 0.00002996, accuracy: 100.00%, time:2.05s, time left: 0.02hours
Step:  10800, loss: 0.00003622, accuracy: 100.00%, time:2.03s, time left: 0.02hours
Step:  10900, loss: 0.00001604, accuracy: 100.00%, time:2.05s, time left: 0.02hours
Step:  11000, loss: 0.00000672, accuracy: 100.00%, time:2.06s, time left: 0.02hours
Step:  11100, loss: 0.00004093, accuracy: 100.00%, time:2.12s, time left: 0.02hours
Step:  11200, loss: 0.00002380, accuracy: 100.00%, time:2.08s, time left: 0.02hours
Step:  11300, loss: 0.00001092, accuracy: 100.00%, time:2.04s, time left: 0.02hours
Step:  11400, loss: 0.00003516, accuracy: 100.00%, time:2.05s, time left: 0.02hours
Step:  11500, loss: 0.00003063, accuracy: 100.00%, time:2.06s, time left: 0.02hours
Step:  11600, loss: 0.00002528, accuracy: 100.00%, time:2.05s, time left: 0.02hours
Step:  11700, loss: 0.00003015, accuracy: 100.00%, time:2.06s, time left: 0.02hours
Step:  11800, loss: 0.00000846, accuracy: 100.00%, time:2.05s, time left: 0.02hours
Step:  11900, loss: 0.00001300, accuracy: 100.00%, time:2.08s, time left: 0.02hours
Step:  12000, loss: 0.00002142, accuracy: 100.00%, time:2.09s, time left: 0.02hours
Step:  12100, loss: 0.00001733, accuracy: 100.00%, time:2.09s, time left: 0.02hours
Step:  12200, loss: 0.00000465, accuracy: 100.00%, time:2.07s, time left: 0.02hours
Step:  12300, loss: 0.00000790, accuracy: 100.00%, time:2.04s, time left: 0.02hours
Step:  12400, loss: 0.00000550, accuracy: 100.00%, time:2.05s, time left: 0.01hours
Step:  12500, loss: 0.00000710, accuracy: 100.00%, time:2.08s, time left: 0.01hours
Step:  12600, loss: 0.00000656, accuracy: 100.00%, time:2.09s, time left: 0.01hours
Step:  12700, loss: 0.00000902, accuracy: 100.00%, time:2.08s, time left: 0.01hours
Step:  12800, loss: 0.00000362, accuracy: 100.00%, time:2.06s, time left: 0.01hours
Step:  12900, loss: 0.00000484, accuracy: 100.00%, time:2.05s, time left: 0.01hours
Step:  13000, loss: 0.00000907, accuracy: 100.00%, time:2.06s, time left: 0.01hours
Step:  13100, loss: 0.00000430, accuracy: 100.00%, time:2.10s, time left: 0.01hours
Step:  13200, loss: 0.00000530, accuracy: 100.00%, time:2.07s, time left: 0.01hours
Step:  13300, loss: 0.00000426, accuracy: 100.00%, time:2.14s, time left: 0.01hours
Step:  13400, loss: 0.00000609, accuracy: 100.00%, time:2.10s, time left: 0.01hours
Step:  13500, loss: 0.00000459, accuracy: 100.00%, time:2.14s, time left: 0.01hours
Step:  13600, loss: 0.00000210, accuracy: 100.00%, time:2.15s, time left: 0.01hours
Step:  13700, loss: 0.00000416, accuracy: 100.00%, time:2.17s, time left: 0.01hours
Step:  13800, loss: 0.00000249, accuracy: 100.00%, time:2.18s, time left: 0.01hours
Step:  13900, loss: 0.00000307, accuracy: 100.00%, time:2.18s, time left: 0.01hours
Step:  14000, loss: 0.00000261, accuracy: 100.00%, time:2.18s, time left: 0.01hours
Step:  14100, loss: 0.00000236, accuracy: 100.00%, time:2.18s, time left: 0.01hours
Step:  14200, loss: 0.00000315, accuracy: 100.00%, time:2.17s, time left: 0.00hours
Step:  14300, loss: 0.00000416, accuracy: 100.00%, time:2.13s, time left: 0.00hours
Step:  14400, loss: 0.00000298, accuracy: 100.00%, time:2.21s, time left: 0.00hours
Step:  14500, loss: 0.00000362, accuracy: 100.00%, time:2.16s, time left: 0.00hours
Step:  14600, loss: 0.00000080, accuracy: 100.00%, time:2.23s, time left: 0.00hours
Step:  14700, loss: 0.00000189, accuracy: 100.00%, time:2.22s, time left: 0.00hours
Step:  14800, loss: 0.00000572, accuracy: 100.00%, time:2.26s, time left: 0.00hours
Step:  14900, loss: 0.00000235, accuracy: 100.00%, time:2.29s, time left: 0.00hours

