Step:  11500, loss: 0.00279814, accuracy: 100.00%, time:3.53s, time left: 0.03hours
Step:  11600, loss: 0.07273844, accuracy: 96.44%, time:3.60s, time left: 0.03hours
Step:  11700, loss: 0.07472010, accuracy: 96.44%, time:3.51s, time left: 0.03hours
Step:  11800, loss: 0.11276022, accuracy: 96.44%, time:3.46s, time left: 0.03hours
Step:  11900, loss: 0.04161027, accuracy: 100.00%, time:3.45s, time left: 0.03hours
Step:  12000, loss: 0.09064967, accuracy: 92.87%, time:3.53s, time left: 0.03hours
Step:  12100, loss: 0.03536016, accuracy: 96.44%, time:3.65s, time left: 0.03hours
Step:  12200, loss: 0.00930172, accuracy: 100.00%, time:3.58s, time left: 0.03hours
Step:  12300, loss: 0.13189644, accuracy: 96.44%, time:3.58s, time left: 0.03hours
Step:  12400, loss: 0.00793016, accuracy: 100.00%, time:3.51s, time left: 0.03hours
Step:  12500, loss: 0.00164067, accuracy: 100.00%, time:3.47s, time left: 0.02hours
Step:  12600, loss: 0.01078112, accuracy: 100.00%, time:3.51s, time left: 0.02hours
Step:  12700, loss: 0.02612406, accuracy: 100.00%, time:3.52s, time left: 0.02hours
Step:  12800, loss: 0.01904553, accuracy: 100.00%, time:3.53s, time left: 0.02hours
Step:  12900, loss: 0.01684595, accuracy: 100.00%, time:3.55s, time left: 0.02hours
Step:  13000, loss: 0.00091439, accuracy: 100.00%, time:3.49s, time left: 0.02hours
Step:  13100, loss: 0.09516700, accuracy: 96.44%, time:3.60s, time left: 0.02hours
Step:  13200, loss: 0.01339489, accuracy: 100.00%, time:3.49s, time left: 0.02hours
Step:  13300, loss: 0.00021926, accuracy: 100.00%, time:3.58s, time left: 0.02hours
Step:  13400, loss: 0.13643777, accuracy: 96.44%, time:3.56s, time left: 0.02hours
Step:  13500, loss: 0.00794340, accuracy: 100.00%, time:3.54s, time left: 0.01hours
Step:  13600, loss: 0.00156104, accuracy: 100.00%, time:3.56s, time left: 0.01hours
Step:  13700, loss: 0.01663156, accuracy: 100.00%, time:3.48s, time left: 0.01hours
Step:  13800, loss: 0.02787545, accuracy: 100.00%, time:3.49s, time left: 0.01hours
